Accession,Virus_Name,Species,Country,Date
MZ544193.1|Cardiovirus_A|Cardiovirus_rueckerti|Vietnam|2014,Cardiovirus_A,Cardiovirus rueckerti,Vietnam,2014
MZ544194.1|Cardiovirus_A|Cardiovirus_rueckerti|Vietnam|2014,Cardiovirus_A,Cardiovirus rueckerti,Vietnam,2014
JX257003.1|cardiovirus_A2|Cardiovirus_rueckerti|Germany|2005,cardiovirus_A2,Cardiovirus rueckerti,Germany,2005
OP381184.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|United_Kingdom|2016,Encephalomyocarditis_virus,Cardiovirus rueckerti,United_Kingdom,2016
MN547968.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|Singapore|2019,Encephalomyocarditis_virus,Cardiovirus rueckerti,Singapore,2019
M81861.1|cardiovirus_A1|Cardiovirus_rueckerti|NA|NA,cardiovirus_A1,Cardiovirus rueckerti,NA,NA
NC_001479.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
OF449081.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
X00463.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
PP841942.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
DQ288856.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|USA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,USA,NA
DQ464062.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,NA
KF709977.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,NA
KC762214.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,NA
PQ298982.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
HM641897.1|Porcine_encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2008,Porcine_encephalomyocarditis_virus,Cardiovirus rueckerti,China,2008
DQ517424.1|Porcine_encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Porcine_encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
KJ524643.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2013
KF598862.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
JQ864080.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2010,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2010
MH191297.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2016,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2016
AF356822.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
KM269482.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|USA|1944,Encephalomyocarditis_virus,Cardiovirus rueckerti,USA,1944
FJ604852.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,NA
FJ604853.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,NA
KF836388.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
KF598863.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
DQ464063.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,NA
KF836387.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
KF836386.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
EU780149.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Korea|1990,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Korea,1990
LC508268.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
KF771002.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2013
FJ897755.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2008,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2008
KF836389.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2013
EU780148.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Korea|1990,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Korea,1990
KF598864.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
KF598860.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
KF836390.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2013
KU664327.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2015,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2015
X74312.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
KF598861.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2012
KF293299.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|China|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,China,2013
MT250508.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|France|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,France,2013
MT250509.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|France|2013,Encephalomyocarditis_virus,Cardiovirus rueckerti,France,2013
MT250510.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|France|2014,Encephalomyocarditis_virus,Cardiovirus rueckerti,France,2014
MT250511.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|France|2014,Encephalomyocarditis_virus,Cardiovirus rueckerti,France,2014
AY296731.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
M37588.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
X87335.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
M22458.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
M22457.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|NA|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,NA,NA
DQ835185.2|Encephalomyocarditis_virus|Cardiovirus_rueckerti|Belgium|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,Belgium,NA
PQ541197.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|Sierra_Leone|2022,Encephalomyocarditis_virus,Cardiovirus rueckerti,Sierra_Leone,2022
KU955338.1|Mengo_virus|Cardiovirus_rueckerti|Central_African_Republic|1983,Mengo_virus,Cardiovirus rueckerti,Central_African_Republic,1983
MT499387.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|Singapore|2002,Encephalomyocarditis_virus,Cardiovirus rueckerti,Singapore,2002
OQ858575.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Africa|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Africa,NA
LC585221.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|Zambia|2012,Encephalomyocarditis_virus,Cardiovirus rueckerti,Zambia,2012
OQ858576.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Africa|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Africa,NA
OQ858577.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Africa|NA,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Africa,NA
OR924200.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Africa|1994,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Africa,1994
OR924201.1|Encephalomyocarditis_virus|Cardiovirus_rueckerti|South_Africa|1994,Encephalomyocarditis_virus,Cardiovirus rueckerti,South_Africa,1994
L22089.1|Mengo_virus|Cardiovirus_rueckerti|NA|NA,Mengo_virus,Cardiovirus rueckerti,NA,NA
